residents,house_size_sqft,location_type,income_range,electricity_kwh,solar_usage,lpg_kg,induction_cooking,primary_transport,private_km_per_day,vehicle_fuel,carpool_shared,diet_type,nonveg_meals_per_week,waste_kg_per_week,recycle_compost,water_liters_per_month,monthly_co2_kg
5,1650.0,Semi-Urban,₹15k–₹30k,474.55,No,11.97,No,Car,15.0,Diesel,Yes,Non-Vegetarian,5,7.21,Yes,14040.0,665.35
6,552.0,Urban,₹50k–₹1L,568.09,No,16.41,Yes,Bicycle/Walking,0.0,None,No,Vegetarian,0,7.07,Yes,12193.0,659.78
6,1938.0,Rural,₹50k–₹1L,347.89,No,16.08,No,Public Transport,2.0,None,No,Vegetarian,0,6.09,No,17858.0,513.53
6,1699.0,Rural,<₹15k,393.65,Yes,15.03,No,Two-wheeler,8.0,Petrol,No,Vegetarian,0,7.53,No,13182.0,510.79
4,1621.0,Semi-Urban,<₹15k,331.98,No,12.61,No,Public Transport,2.0,None,Yes,Non-Vegetarian,8,5.34,Yes,21882.0,492.55
1,2009.0,Urban,₹30k–₹50k,633.54,No,10.2,Yes,Two-wheeler,14.0,Petrol,No,Vegetarian,0,5.11,No,14734.0,677.35
1,1523.0,Rural,₹30k–₹50k,450.56,Yes,19.28,No,Public Transport,3.0,None,No,Vegetarian,0,7.1,No,16704.0,450.29
3,1314.0,Rural,>₹1L,437.22,No,15.94,No,Car,29.0,Petrol,Yes,Vegetarian,0,3.97,Yes,14188.0,592.71
5,1555.0,Rural,₹15k–₹30k,363.69,No,15.95,No,Public Transport,3.0,None,No,Mixed,3,3.15,Yes,14222.0,504.88
5,1192.0,Rural,₹50k–₹1L,254.68,No,15.27,No,Public Transport,3.0,None,Yes,Vegetarian,0,10.11,No,12046.0,443.89
4,893.0,Urban,<₹15k,420.76,No,12.38,Yes,Public Transport,3.0,None,No,Vegetarian,0,8.83,No,6546.0,537.06
2,474.0,Rural,>₹1L,373.97,No,9.83,Yes,Two-wheeler,33.0,Petrol,No,Mixed,2,7.16,No,5010.0,598.5
1,1993.0,Semi-Urban,₹30k–₹50k,335.31,No,15.12,No,Public Transport,2.0,None,No,Mixed,1,9.58,Yes,13629.0,421.99
3,674.0,Semi-Urban,₹30k–₹50k,332.52,No,10.86,Yes,Two-wheeler,35.0,Petrol,Yes,Vegetarian,0,3.53,No,7200.0,509.15
4,1761.0,Semi-Urban,<₹15k,327.76,Yes,12.74,No,Bicycle/Walking,0.0,None,Yes,Mixed,1,2.0,Yes,11438.0,346.21
6,1368.0,Semi-Urban,₹50k–₹1L,408.92,No,12.98,No,Car,20.0,Petrol,No,Vegetarian,0,2.0,No,18707.0,606.01
2,1441.0,Rural,₹15k–₹30k,409.24,No,22.89,Yes,Public Transport,3.0,None,No,Vegetarian,0,3.92,No,22165.0,487.57
5,1300.0,Semi-Urban,₹15k–₹30k,324.75,No,12.61,Yes,Public Transport,0.0,None,No,Vegetarian,0,6.86,Yes,12703.0,454.7
5,1369.0,Urban,₹15k–₹30k,112.04,No,14.82,No,Car,49.0,Petrol,No,Mixed,2,5.8,Yes,10229.0,533.03
1,788.0,Rural,₹30k–₹50k,601.25,Yes,16.54,No,Public Transport,3.0,None,No,Vegetarian,0,6.78,No,16219.0,538.53
2,799.0,Urban,₹30k–₹50k,293.69,No,11.97,Yes,Car,27.0,Petrol,Yes,Vegetarian,0,9.85,Yes,6753.0,464.19
1,1213.0,Rural,₹30k–₹50k,461.96,No,25.08,Yes,Car,27.0,Diesel,No,Vegetarian,0,7.84,No,13140.0,689.2
2,1409.0,Rural,<₹15k,380.16,No,13.87,No,Two-wheeler,10.0,Petrol,No,Vegetarian,0,8.9,Yes,15846.0,497.08
1,1264.0,Rural,₹50k–₹1L,394.68,No,16.84,No,Two-wheeler,9.0,Petrol,No,Vegetarian,0,8.73,No,14919.0,505.95
3,974.0,Semi-Urban,₹15k–₹30k,280.22,No,10.72,No,Public Transport,3.0,None,No,Mixed,3,5.2,No,14026.0,394.66
4,1769.0,Rural,₹15k–₹30k,406.27,Yes,16.46,No,Public Transport,0.0,None,No,Non-Vegetarian,6,8.58,No,9424.0,513.02
2,487.0,Urban,₹50k–₹1L,491.13,No,11.71,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,4.45,Yes,14071.0,503.48
5,476.0,Rural,₹15k–₹30k,197.43,No,9.32,Yes,Two-wheeler,10.0,Petrol,No,Non-Vegetarian,4,4.46,No,20003.0,397.04
1,1473.0,Rural,₹30k–₹50k,469.83,No,21.41,Yes,Public Transport,4.0,None,No,Vegetarian,0,7.83,Yes,15700.0,530.44
3,1057.0,Urban,<₹15k,547.72,Yes,19.44,No,Two-wheeler,26.0,Petrol,No,Vegetarian,0,8.17,Yes,9790.0,656.43
5,451.0,Urban,₹50k–₹1L,324.32,No,15.03,No,Car,35.0,Petrol,No,Vegetarian,0,5.6,No,13716.0,627.17
1,2088.0,Rural,>₹1L,262.13,No,15.87,No,Two-wheeler,28.0,Petrol,Yes,Vegetarian,0,4.77,No,18404.0,422.02
6,1648.0,Semi-Urban,>₹1L,380.26,Yes,21.77,No,Public Transport,4.0,None,Yes,Vegetarian,0,4.49,No,15788.0,482.53
2,691.0,Semi-Urban,₹30k–₹50k,239.42,No,8.9,Yes,Car,10.0,Diesel,No,Vegetarian,0,5.06,Yes,21229.0,352.78
2,1643.0,Semi-Urban,₹15k–₹30k,136.57,No,11.56,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,6.28,Yes,11724.0,222.13
3,826.0,Rural,>₹1L,386.12,Yes,15.01,Yes,Public Transport,2.0,None,No,Mixed,4,7.5,Yes,5466.0,432.15
5,1322.0,Rural,₹15k–₹30k,436.17,No,16.72,No,Two-wheeler,21.0,Petrol,No,Vegetarian,0,3.23,Yes,17237.0,630.46
1,669.0,Rural,<₹15k,368.46,No,11.72,Yes,Car,21.0,CNG,Yes,Mixed,2,12.52,Yes,13789.0,498.01
6,2088.0,Urban,₹30k–₹50k,480.14,No,21.08,Yes,Car,59.0,Diesel,Yes,Vegetarian,0,2.15,Yes,9048.0,827.92
4,1292.0,Semi-Urban,₹30k–₹50k,246.12,No,21.91,No,Public Transport,1.0,None,No,Vegetarian,0,8.3,Yes,13313.0,414.05
2,1444.0,Rural,<₹15k,602.52,No,12.86,Yes,Two-wheeler,14.0,Petrol,Yes,Non-Vegetarian,6,11.43,No,8280.0,717.24
4,782.0,Urban,₹30k–₹50k,150.03,Yes,20.48,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,4.34,No,9619.0,265.58
5,586.0,Semi-Urban,₹50k–₹1L,471.98,No,20.0,No,Public Transport,3.0,None,Yes,Mixed,3,5.45,No,9298.0,625.36
1,1712.0,Semi-Urban,₹15k–₹30k,177.66,No,19.0,No,Car,48.0,Petrol,No,Mixed,1,5.68,No,9721.0,515.28
1,1628.0,Rural,<₹15k,262.06,No,12.83,No,Two-wheeler,10.0,Petrol,No,Mixed,4,6.24,Yes,13202.0,369.31
4,2192.0,Semi-Urban,<₹15k,237.44,No,12.45,No,Public Transport,1.0,None,No,Mixed,2,3.26,No,12459.0,366.72
6,535.0,Semi-Urban,₹50k–₹1L,529.57,Yes,19.13,Yes,Two-wheeler,8.0,Petrol,Yes,Non-Vegetarian,4,2.0,Yes,13527.0,586.27
2,582.0,Semi-Urban,<₹15k,120.9,No,15.12,Yes,Car,54.0,Petrol,No,Mixed,1,5.73,Yes,12446.0,494.12
1,1232.0,Rural,<₹15k,457.12,No,8.14,Yes,Public Transport,0.0,None,Yes,Non-Vegetarian,5,9.47,Yes,8679.0,501.61
1,990.0,Semi-Urban,>₹1L,467.68,No,20.02,No,Two-wheeler,29.0,Petrol,No,Vegetarian,0,5.52,Yes,14729.0,648.17
3,1062.0,Semi-Urban,<₹15k,572.07,No,14.77,Yes,Car,39.0,Petrol,No,Non-Vegetarian,8,11.07,No,12316.0,884.42
5,1570.0,Urban,₹50k–₹1L,286.49,No,21.14,No,Bicycle/Walking,0.0,None,No,Non-Vegetarian,4,3.63,Yes,7202.0,442.42
3,660.0,Rural,<₹15k,366.11,Yes,17.37,No,Car,24.0,Petrol,Yes,Mixed,1,8.79,Yes,13600.0,492.72
3,616.0,Semi-Urban,<₹15k,191.96,No,11.01,Yes,Public Transport,0.0,None,Yes,Vegetarian,0,10.44,Yes,18387.0,328.09
6,2146.0,Urban,<₹15k,322.34,No,15.31,Yes,Car,11.0,Petrol,No,Non-Vegetarian,4,4.89,Yes,16019.0,538.99
3,1805.0,Rural,₹50k–₹1L,330.17,No,13.02,Yes,Two-wheeler,11.0,Petrol,No,Vegetarian,0,10.18,No,13768.0,492.35
3,1007.0,Semi-Urban,<₹15k,463.68,No,23.54,Yes,Two-wheeler,34.0,Petrol,No,Mixed,2,10.64,Yes,17625.0,746.65
6,1964.0,Urban,₹30k–₹50k,356.84,No,20.08,Yes,Two-wheeler,17.0,Petrol,Yes,Non-Vegetarian,5,7.48,No,10403.0,617.47
6,401.0,Urban,₹50k–₹1L,270.97,No,16.97,No,Public Transport,1.0,None,No,Mixed,3,5.95,No,14673.0,479.43
5,2141.0,Rural,₹30k–₹50k,645.34,No,10.13,No,Two-wheeler,22.0,Petrol,Yes,Mixed,3,2.0,Yes,16626.0,769.53
1,777.0,Rural,<₹15k,224.14,No,18.72,Yes,Public Transport,1.0,None,Yes,Vegetarian,0,9.17,No,16831.0,343.43
5,1124.0,Semi-Urban,₹15k–₹30k,277.68,Yes,15.53,No,Public Transport,1.0,None,No,Mixed,3,8.14,Yes,13624.0,416.12
2,1675.0,Urban,₹50k–₹1L,411.44,No,19.62,Yes,Public Transport,3.0,None,Yes,Non-Vegetarian,8,10.04,Yes,9204.0,531.95
3,1056.0,Rural,₹30k–₹50k,431.14,No,7.4,No,Two-wheeler,19.0,Petrol,No,Non-Vegetarian,4,7.23,Yes,18375.0,594.4
1,1712.0,Semi-Urban,₹30k–₹50k,251.37,Yes,11.16,No,Car,23.0,Diesel,No,Non-Vegetarian,8,2.0,No,16827.0,391.7
2,2191.0,Semi-Urban,₹15k–₹30k,450.83,No,24.09,No,Public Transport,4.0,None,Yes,Vegetarian,0,5.89,No,13965.0,547.21
5,2067.0,Rural,₹30k–₹50k,352.2,Yes,27.88,No,Two-wheeler,12.0,Petrol,No,Mixed,3,9.45,Yes,20789.0,550.77
6,753.0,Rural,<₹15k,217.73,No,8.47,No,Car,44.0,Petrol,Yes,Mixed,4,8.58,No,13620.0,575.52
6,686.0,Semi-Urban,>₹1L,491.37,No,20.93,Yes,Car,25.0,Diesel,No,Mixed,4,9.79,Yes,18062.0,819.46
1,1142.0,Urban,<₹15k,177.19,Yes,8.74,No,Two-wheeler,24.0,Petrol,No,Vegetarian,0,8.12,No,14261.0,347.82
1,1308.0,Urban,<₹15k,433.55,Yes,17.08,Yes,Bicycle/Walking,0.0,None,Yes,Mixed,1,6.86,Yes,18005.0,392.16
4,497.0,Semi-Urban,<₹15k,228.57,No,17.12,Yes,Public Transport,0.0,None,No,Mixed,3,6.7,No,8199.0,395.49
2,1565.0,Urban,<₹15k,179.96,No,19.79,Yes,Bicycle/Walking,0.0,None,Yes,Vegetarian,0,8.12,Yes,21099.0,286.8
3,2183.0,Rural,>₹1L,379.3,No,13.35,No,Car,27.0,Petrol,No,Mixed,1,7.73,No,18445.0,611.11
2,746.0,Rural,<₹15k,488.29,No,17.3,Yes,Public Transport,4.0,None,No,Mixed,2,2.0,Yes,17845.0,526.52
2,2038.0,Urban,₹50k–₹1L,431.18,No,12.52,No,Public Transport,1.0,None,Yes,Non-Vegetarian,4,4.36,Yes,11154.0,491.05
4,1034.0,Urban,₹15k–₹30k,348.64,No,23.68,Yes,Two-wheeler,23.0,Petrol,No,Non-Vegetarian,5,11.69,Yes,9489.0,639.08
2,1552.0,Semi-Urban,₹15k–₹30k,127.62,No,15.23,Yes,Two-wheeler,23.0,Petrol,No,Mixed,3,6.58,No,11002.0,358.93
6,1083.0,Semi-Urban,<₹15k,396.62,No,20.38,No,Two-wheeler,11.0,Petrol,No,Vegetarian,0,10.37,Yes,8328.0,613.39
3,2168.0,Rural,₹15k–₹30k,412.87,Yes,17.86,Yes,Bicycle/Walking,0.0,None,No,Vegetarian,0,6.51,No,18654.0,422.55
2,498.0,Rural,₹30k–₹50k,362.76,No,23.14,Yes,Two-wheeler,25.0,Petrol,No,Vegetarian,0,9.8,No,9470.0,595.48
1,1927.0,Rural,₹30k–₹50k,80.0,No,19.16,No,Public Transport,3.0,None,No,Vegetarian,0,7.62,No,11558.0,222.17
2,1135.0,Rural,₹30k–₹50k,306.86,No,8.77,Yes,Bicycle/Walking,0.0,None,No,Mixed,3,8.11,Yes,13004.0,369.88
5,1985.0,Urban,₹30k–₹50k,157.66,No,17.8,Yes,Electric Vehicle,49.0,Electric,No,Non-Vegetarian,6,7.65,No,12577.0,474.83
2,2142.0,Semi-Urban,₹50k–₹1L,169.01,No,10.27,Yes,Car,47.0,Petrol,Yes,Mixed,4,7.94,Yes,22540.0,436.75
6,983.0,Urban,<₹15k,349.33,No,15.93,Yes,Two-wheeler,10.0,Petrol,No,Mixed,2,8.16,Yes,12269.0,556.34
2,520.0,Rural,₹30k–₹50k,300.66,No,16.2,No,Two-wheeler,16.0,Petrol,No,Vegetarian,0,7.48,No,18287.0,473.36
3,1166.0,Urban,₹30k–₹50k,401.37,Yes,12.26,Yes,Car,10.0,Diesel,Yes,Non-Vegetarian,6,8.61,Yes,15810.0,474.66
2,2019.0,Rural,<₹15k,394.81,No,18.0,No,Two-wheeler,38.0,Petrol,Yes,Vegetarian,0,7.57,Yes,13945.0,599.49
1,1549.0,Rural,₹30k–₹50k,204.65,No,11.65,Yes,Two-wheeler,36.0,Petrol,No,Non-Vegetarian,7,2.0,Yes,20312.0,431.14
5,1458.0,Semi-Urban,₹15k–₹30k,121.74,No,13.59,No,Two-wheeler,6.0,Petrol,No,Non-Vegetarian,6,6.74,Yes,18572.0,353.06
1,587.0,Rural,<₹15k,566.01,Yes,12.34,No,Public Transport,2.0,None,No,Vegetarian,0,16.09,No,15412.0,569.69
5,532.0,Urban,₹50k–₹1L,400.45,No,11.41,Yes,Car,31.0,Petrol,No,Non-Vegetarian,5,3.28,Yes,14804.0,671.09
3,1190.0,Urban,₹50k–₹1L,408.72,Yes,5.0,No,Public Transport,1.0,None,No,Vegetarian,0,9.78,No,9960.0,433.56
1,1739.0,Urban,₹15k–₹30k,593.64,Yes,5.39,No,Bicycle/Walking,0.0,None,Yes,Mixed,4,6.61,No,5858.0,479.13
1,1832.0,Semi-Urban,₹15k–₹30k,232.9,No,11.83,No,Two-wheeler,35.0,Petrol,No,Vegetarian,0,2.0,Yes,13157.0,441.7
3,2052.0,Urban,₹50k–₹1L,373.41,No,13.74,Yes,Public Transport,0.0,None,No,Non-Vegetarian,8,6.18,Yes,14484.0,495.8
3,573.0,Rural,₹30k–₹50k,304.51,No,9.62,No,Public Transport,1.0,None,Yes,Vegetarian,0,5.59,No,9862.0,398.71
1,1211.0,Urban,₹50k–₹1L,403.76,No,18.54,Yes,Two-wheeler,32.0,Petrol,Yes,Vegetarian,0,9.72,Yes,4000.0,569.71
2,924.0,Semi-Urban,₹30k–₹50k,390.2,No,24.42,No,Public Transport,1.0,None,No,Non-Vegetarian,5,2.0,Yes,11730.0,482.63
4,1231.0,Urban,>₹1L,353.23,Yes,16.27,No,Two-wheeler,20.0,Petrol,No,Non-Vegetarian,5,6.98,Yes,11063.0,531.16
6,924.0,Semi-Urban,>₹1L,525.93,No,19.49,Yes,Car,51.0,Diesel,No,Non-Vegetarian,4,6.09,No,17136.0,993.57
3,1320.0,Urban,₹50k–₹1L,426.08,Yes,13.85,Yes,Car,45.0,Petrol,Yes,Vegetarian,0,6.64,Yes,14334.0,574.94
6,1812.0,Semi-Urban,<₹15k,227.36,Yes,7.03,No,Car,32.0,Petrol,No,Mixed,3,7.48,No,11969.0,530.23
2,1446.0,Urban,>₹1L,349.02,No,15.71,Yes,Bicycle/Walking,0.0,None,No,Vegetarian,0,6.48,Yes,19970.0,405.31
6,956.0,Urban,>₹1L,293.73,No,18.85,No,Electric Vehicle,10.0,Electric,No,Vegetarian,0,5.95,Yes,7927.0,463.0
6,1973.0,Urban,₹50k–₹1L,356.36,Yes,19.97,Yes,Car,13.0,Petrol,No,Mixed,1,4.93,Yes,16505.0,502.73
6,438.0,Semi-Urban,<₹15k,403.22,No,14.21,No,Two-wheeler,21.0,Petrol,Yes,Mixed,2,4.61,No,10811.0,612.72
5,1838.0,Urban,₹30k–₹50k,172.85,Yes,10.9,Yes,Two-wheeler,39.0,Petrol,Yes,Mixed,2,6.91,No,4065.0,439.65
1,995.0,Semi-Urban,₹30k–₹50k,219.4,No,16.97,Yes,Car,30.0,Petrol,No,Mixed,2,7.64,No,17376.0,460.26
5,2143.0,Urban,<₹15k,332.33,No,7.09,Yes,Public Transport,0.0,None,No,Vegetarian,0,6.38,Yes,9122.0,443.09
1,821.0,Rural,₹50k–₹1L,80.0,No,11.08,No,Car,48.0,Petrol,Yes,Mixed,2,10.13,Yes,12114.0,356.46
6,1444.0,Rural,₹30k–₹50k,545.27,No,15.1,Yes,Public Transport,3.0,None,No,Vegetarian,0,12.78,Yes,9289.0,692.91
5,602.0,Semi-Urban,>₹1L,270.07,Yes,28.71,Yes,Car,26.0,Petrol,Yes,Mixed,1,5.5,No,11119.0,485.32
4,702.0,Rural,₹15k–₹30k,80.0,No,20.81,Yes,Public Transport,4.0,None,No,Non-Vegetarian,5,10.47,Yes,17194.0,310.35
2,1986.0,Urban,<₹15k,372.51,Yes,20.73,No,Two-wheeler,30.0,Petrol,Yes,Mixed,3,8.84,Yes,14178.0,515.94
5,1003.0,Urban,₹30k–₹50k,596.44,No,17.04,Yes,Public Transport,0.0,None,No,Vegetarian,0,12.33,Yes,15924.0,721.18
1,1636.0,Urban,₹15k–₹30k,370.69,No,21.53,No,Electric Vehicle,24.0,Electric,No,Non-Vegetarian,8,10.44,No,10870.0,528.29
4,450.0,Semi-Urban,₹50k–₹1L,271.63,Yes,13.8,Yes,Two-wheeler,38.0,Petrol,Yes,Mixed,1,8.96,Yes,12192.0,485.02
6,1330.0,Semi-Urban,₹30k–₹50k,418.47,No,14.55,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,2.56,Yes,15858.0,514.01
5,2141.0,Rural,>₹1L,488.01,No,13.31,No,Bicycle/Walking,0.0,None,Yes,Vegetarian,0,7.48,Yes,8756.0,575.54
5,1986.0,Urban,<₹15k,285.92,No,20.97,Yes,Bicycle/Walking,0.0,None,No,Mixed,3,9.25,No,12927.0,471.62
3,1934.0,Rural,>₹1L,250.11,No,15.6,Yes,Bicycle/Walking,0.0,None,Yes,Vegetarian,0,5.62,Yes,12537.0,334.74
1,618.0,Rural,>₹1L,319.47,No,24.78,No,Car,15.0,Diesel,No,Mixed,2,12.42,Yes,8826.0,524.74
4,2136.0,Urban,₹15k–₹30k,408.2,No,13.76,No,Car,45.0,Petrol,No,Mixed,1,7.43,Yes,11738.0,734.33
1,1772.0,Semi-Urban,₹30k–₹50k,269.84,Yes,24.88,No,Public Transport,3.0,None,No,Non-Vegetarian,4,5.36,Yes,13718.0,333.57
6,1528.0,Rural,₹30k–₹50k,265.42,Yes,16.03,Yes,Public Transport,1.0,None,No,Non-Vegetarian,4,4.56,No,9037.0,419.12
2,690.0,Urban,₹30k–₹50k,432.15,No,6.97,Yes,Public Transport,2.0,None,No,Vegetarian,0,9.94,Yes,16882.0,493.48
1,609.0,Urban,₹15k–₹30k,431.13,No,16.44,No,Public Transport,4.0,None,Yes,Vegetarian,0,8.52,No,13925.0,509.18
3,605.0,Rural,₹30k–₹50k,247.01,No,19.94,No,Two-wheeler,18.0,Petrol,No,Mixed,3,6.56,Yes,6778.0,463.53
2,480.0,Rural,₹50k–₹1L,339.97,No,21.85,No,Car,48.0,Diesel,Yes,Non-Vegetarian,7,4.68,Yes,15644.0,643.2
1,742.0,Rural,<₹15k,155.88,Yes,11.02,No,Bicycle/Walking,0.0,None,No,Mixed,3,2.0,Yes,11625.0,172.82
6,459.0,Urban,₹15k–₹30k,495.17,No,21.29,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,5.76,Yes,13570.0,614.73
1,1125.0,Rural,₹30k–₹50k,447.47,Yes,14.84,No,Car,18.0,Diesel,No,Vegetarian,0,13.86,No,12021.0,571.48
4,2149.0,Semi-Urban,₹30k–₹50k,324.03,No,8.63,Yes,Bicycle/Walking,0.0,None,No,Mixed,4,5.42,Yes,15335.0,420.53
4,1761.0,Urban,>₹1L,385.65,No,24.15,No,Public Transport,3.0,None,No,Non-Vegetarian,8,2.0,Yes,22389.0,551.86
4,997.0,Rural,₹30k–₹50k,327.42,Yes,22.49,Yes,Public Transport,0.0,None,No,Mixed,1,6.94,No,8977.0,425.84
4,621.0,Urban,>₹1L,436.02,No,12.42,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,2.0,Yes,10629.0,481.26
4,740.0,Urban,₹15k–₹30k,520.34,No,6.84,No,Two-wheeler,33.0,Petrol,Yes,Non-Vegetarian,7,2.0,Yes,11938.0,698.28
6,2053.0,Semi-Urban,<₹15k,427.93,No,18.55,No,Electric Vehicle,59.0,Electric,No,Mixed,4,2.01,Yes,19724.0,695.18
5,1456.0,Semi-Urban,>₹1L,394.48,Yes,7.46,No,Two-wheeler,20.0,Petrol,Yes,Vegetarian,0,9.12,Yes,15013.0,500.84
1,685.0,Semi-Urban,<₹15k,210.22,Yes,20.02,No,Car,51.0,Petrol,No,Vegetarian,0,7.81,Yes,8007.0,528.15
5,2148.0,Urban,₹15k–₹30k,328.16,No,24.16,Yes,Two-wheeler,18.0,Petrol,Yes,Vegetarian,0,8.44,No,14548.0,550.94
2,1150.0,Urban,₹15k–₹30k,581.94,No,10.14,No,Two-wheeler,37.0,Petrol,No,Vegetarian,0,9.43,Yes,13685.0,794.23
4,1024.0,Semi-Urban,₹30k–₹50k,423.44,No,13.76,No,Two-wheeler,5.0,Petrol,No,Mixed,3,13.17,No,6803.0,601.95
1,1679.0,Rural,₹15k–₹30k,330.43,No,23.9,No,Two-wheeler,15.0,Petrol,No,Mixed,1,6.11,Yes,18007.0,480.34
3,977.0,Semi-Urban,₹50k–₹1L,357.8,Yes,8.58,Yes,Public Transport,2.0,None,Yes,Mixed,1,6.2,No,13383.0,386.96
5,736.0,Rural,>₹1L,231.28,No,13.53,Yes,Public Transport,4.0,None,No,Vegetarian,0,3.01,No,16283.0,363.62
4,975.0,Rural,₹15k–₹30k,439.85,No,21.79,Yes,Two-wheeler,37.0,Petrol,No,Mixed,1,6.26,No,12686.0,735.43
6,1492.0,Semi-Urban,₹30k–₹50k,308.58,No,11.85,Yes,Car,41.0,Petrol,No,Vegetarian,0,6.98,Yes,12964.0,648.35
4,928.0,Urban,₹15k–₹30k,286.89,Yes,18.47,Yes,Two-wheeler,13.0,Petrol,Yes,Mixed,3,4.22,Yes,14330.0,401.77
4,847.0,Semi-Urban,<₹15k,194.73,No,6.76,Yes,Bicycle/Walking,0.0,None,No,Non-Vegetarian,8,12.09,Yes,15815.0,373.47
6,1662.0,Urban,₹30k–₹50k,414.55,No,8.68,Yes,Public Transport,1.0,None,No,Mixed,2,5.03,Yes,16442.0,545.82
1,981.0,Rural,>₹1L,477.57,Yes,13.57,Yes,Two-wheeler,30.0,Petrol,No,Non-Vegetarian,8,10.05,Yes,16483.0,597.06
1,2145.0,Urban,₹50k–₹1L,460.76,No,10.22,Yes,Bicycle/Walking,0.0,None,No,Vegetarian,0,5.96,Yes,6161.0,457.89
3,1767.0,Semi-Urban,>₹1L,543.62,No,19.86,No,Public Transport,4.0,None,Yes,Non-Vegetarian,5,6.72,Yes,13879.0,648.53
4,1493.0,Rural,>₹1L,148.27,No,17.58,Yes,Car,56.0,Diesel,No,Vegetarian,0,12.83,Yes,11623.0,664.94
5,1595.0,Urban,>₹1L,365.41,No,24.62,No,Bicycle/Walking,0.0,None,No,Non-Vegetarian,8,7.4,Yes,10903.0,571.76
1,1038.0,Rural,₹30k–₹50k,453.41,Yes,17.02,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,6.22,No,12878.0,414.8
1,2033.0,Rural,<₹15k,454.09,No,21.28,Yes,Car,15.0,Diesel,No,Vegetarian,0,8.47,Yes,18509.0,592.2
5,1696.0,Rural,<₹15k,340.97,No,13.84,Yes,Car,28.0,Petrol,Yes,Mixed,2,8.52,Yes,17768.0,576.69
4,1532.0,Semi-Urban,₹15k–₹30k,393.81,Yes,25.03,Yes,Car,18.0,Diesel,No,Non-Vegetarian,7,3.25,No,13462.0,577.5
2,603.0,Urban,>₹1L,202.96,Yes,22.19,No,Electric Vehicle,21.0,Electric,No,Mixed,3,4.07,Yes,16503.0,317.86
5,424.0,Rural,₹30k–₹50k,383.04,Yes,14.84,No,Public Transport,0.0,None,No,Vegetarian,0,2.0,Yes,10699.0,423.37
4,501.0,Urban,₹50k–₹1L,308.44,Yes,11.64,Yes,Two-wheeler,38.0,Petrol,No,Vegetarian,0,2.0,No,18007.0,521.22
6,857.0,Semi-Urban,₹15k–₹30k,285.09,No,15.97,No,Bicycle/Walking,0.0,None,No,Mixed,3,8.66,Yes,12998.0,471.43
1,710.0,Semi-Urban,₹30k–₹50k,199.62,No,18.18,No,Car,49.0,Petrol,No,Mixed,1,13.57,No,15781.0,594.67
6,1903.0,Semi-Urban,₹30k–₹50k,364.94,No,13.87,Yes,Public Transport,0.0,None,No,Vegetarian,0,11.88,No,17698.0,556.37
4,1708.0,Rural,₹50k–₹1L,310.37,No,12.26,No,Bicycle/Walking,0.0,None,No,Non-Vegetarian,8,4.42,Yes,12759.0,442.61
3,1061.0,Semi-Urban,₹15k–₹30k,389.54,No,11.48,No,Public Transport,0.0,None,Yes,Non-Vegetarian,7,6.41,Yes,17474.0,505.94
4,1305.0,Urban,₹30k–₹50k,267.41,No,10.04,Yes,Public Transport,0.0,None,Yes,Non-Vegetarian,6,10.28,Yes,10418.0,439.9
3,1907.0,Urban,₹50k–₹1L,601.67,No,13.13,No,Two-wheeler,31.0,Petrol,No,Mixed,4,15.05,Yes,9377.0,856.06
2,1926.0,Urban,₹30k–₹50k,535.61,No,11.27,Yes,Bicycle/Walking,0.0,None,No,Vegetarian,0,5.45,Yes,8963.0,537.83
5,2019.0,Urban,₹50k–₹1L,438.41,No,17.17,Yes,Two-wheeler,28.0,Petrol,No,Non-Vegetarian,7,8.8,Yes,17655.0,749.57
2,626.0,Urban,<₹15k,442.56,No,7.43,No,Two-wheeler,36.0,Petrol,No,Mixed,1,9.49,No,12291.0,683.4
6,1669.0,Rural,₹30k–₹50k,173.69,No,16.12,Yes,Two-wheeler,16.0,Petrol,No,Vegetarian,0,6.94,No,17898.0,429.8
6,1485.0,Semi-Urban,₹15k–₹30k,481.38,No,18.66,No,Public Transport,0.0,None,No,Mixed,1,3.77,No,13623.0,622.14
6,1775.0,Rural,₹30k–₹50k,372.38,No,5.0,No,Public Transport,1.0,None,No,Vegetarian,0,5.5,No,9122.0,493.73
1,618.0,Semi-Urban,₹30k–₹50k,344.73,No,16.02,No,Two-wheeler,9.0,Petrol,No,Mixed,1,9.19,Yes,18410.0,455.25
3,2058.0,Rural,₹30k–₹50k,335.24,No,17.57,Yes,Two-wheeler,33.0,Petrol,Yes,Mixed,4,4.61,Yes,17530.0,544.19
2,1555.0,Urban,₹50k–₹1L,383.92,No,7.69,No,Two-wheeler,17.0,Petrol,No,Vegetarian,0,5.26,No,11861.0,503.56
5,1844.0,Semi-Urban,<₹15k,302.36,No,20.64,No,Bicycle/Walking,0.0,None,No,Mixed,2,8.92,Yes,10918.0,469.81
